input|output
 Mmm! Ah, it's so good!|Ugh. That's gross, too. There's no way real caterpillars are delicious.
 You guys, this is lame.|No way I'm eating a bug's butt. Those kids are right. Whats the big deez about the food chain, anyway? Lets hit the snack bar and eat something yummy.
 No way I'm eating a bug's butt. Those kids are right. Whats the big deez about the food chain, anyway? Lets hit the snack bar and eat something yummy.|Hey, this is pretty fun!
 Hey, have you noticed we are birds now?|I'm hungies.
 |Oh, dude, you ate those?!
 Come on, man. We're sweet, sweet birds, and we get to eat worms. This is a unique experience.|
 |
 | Uh, how did I get so mad chubs? I only ate one grub.
 Dude, you've been eating grubs for hours.|What?!
 Yeah, you're a beast.|Help me, Jake! My body's too bloated to fly!
 Hide!|
 | There goes my din-din. Why am I hungry again?
  There goes my din-din. Why am I hungry again?|Jake!
 Who are you?|It's me, Finn.
 Dang, when did you get so big?... And old?|
 You feeling okay, bro?|Jake, we are good friends. So let me just say you look awesome right now.
 Ha, really?|Yeah.
 Yeah.|You're looking tasty.  Hey, why don't you take a seat in my mouth?
 Why? That's... weird.|It's okay. It's okay. Just give it a try. It's a new experience, right?
 Wow, you have a lot of saliva.  You must have a broken pipe, old timer. It's comfy, though.|
 Whoa! Did you just try to eat me?!|No...? But if I did that'd be okay, right?
 You are trying to eat me.|I'm just following the Law of Nature.
 What're you talking about?|I don't know. I just feel that way. 
 |Aw, Jake, you're missing out... by not getting eaten... by me.
 Sorry, man. I'm not into it.|So alone. So hungry.  The Law of Nature... has claimed this... bod... 
 So alone. So hungry.  The Law of Nature... has claimed this... bod... |Yay! What a big turnout. Top notch! To decompose stuff! Yeah-h-h! We are so pumped! Yeah!  What's that smell?
 Yay! What a big turnout. Top notch! To decompose stuff! Yeah-h-h! We are so pumped! Yeah!  What's that smell?|Wow. It looks amazing! Yay! Yay!
 Wow. It looks amazing! Yay! Yay!|Party time!
 Party time!|So good! Awesome. This bird went bad so well!
 You took it too far, man. I'm a dog, and I eat all kinds of horrible things. This is disgusting.|"Come on, think of it as a conversation starter—like, ""The other night, I ate the grossest thing I've ever tasted."" You know, it's interesting. "
" Come on, think of it as a conversation starter—like, ""The other night, I ate the grossest thing I've ever tasted."" You know, it's interesting. "|Whew! I'm full.
 Whew! I'm full.|Whoa! Aah!
 Whoa! Aah!|Whoa! Aah! Whoa! Aah! What's going on?! Whoa!
 Whoa! Aah! Whoa! Aah! What's going on?! Whoa!|
 |
 |I think we're safe now... and also caterpillars.
 We're still in a bind, man. No food, no water.|I'm hungry.
 Huh? You okay? |She's beautiful.
 Yes, I have to hurry and find food. Otherwise, my family won't survive.  But I don't know if I can go on... |Hold on, Erin. Food! Water! Shade! Where are you?!
 Over there—the oasis!| Yummy!
 Really? You like leaves now?|So good, dude.
 So good, dude.| Your eyes.
 So, how many kids you want to have?|Uh,  d-d-do you want to get married?
 And will you, Finn, take this caterpillar to be your wife, even if she becomes a flower or a bird or a bacteria, to love and to cherish till death do you part?|Y-y-y-yes.
 You may now kiss the bride.|This way, Erin!
 Finn!|When we're reborn as caterpillars, I'll marry you all over again!
 Hey, why are you eating caterpillars?|My eyes are open.
 Princess, he did it! Root Beer Guy set up the force field!|But he sacrificed himself to do it.
 Yes, it's been a difficult adjustment.|Blaze his face, Eli!
 Finn, his weakness is his brain seed.|Okay!
 Okay!|Whoo-hoo-hoo! Whoo-hoo!
 Whoo-hoo-hoo! Whoo-hoo!|Oh, uh!  Aah! 
 Hey, where's Finn?|Hi.
 Okay. Y'all bring food and bevs. Finn, you make the guac, all right?|I'll make the guaaaaaaaaaaac.
 Finn! Finn!|Yo! What's up, APTWE?
 What do I do now?|Dude, I don't know. Probably not go back in the basement. You're so big'uns. You should be free, boy.
 Free to do what? I need psychic commands.|Can you help me dice tomatoes for this guac?
 No.|You see, man, I feel weird giving you orders. You should just do your own thing. Realize your potential.
 But this is what I am—a war machine who serves its master.|No, man. You're more than that.  Whoops. I see into your brain, remember? You'll do great. Just go for it. I believe in you, man.
 No, man. You're more than that.  Whoops. I see into your brain, remember? You'll do great. Just go for it. I believe in you, man.|Oh, word. Thanks.
 Maybe Darren was right. There's no place for my ancient ways. |Don't think like that, dude! Come back and see us whenevs!
  Whoo!|Whoo! Whoo-hoo!
  Yeah? Yeah. Send them on over.  Sorry about that.  Anyway, as you can see, this beauty offers direct first and second floor access. Superb craftsmanship and etcetera. I suppose you're familiar.  Yes, Finn?|Yeah, uh, when are we going to get our house back?
  Good afternoon! Yes, right this way.  I've got 37 available units to show in this building so we're going to want to get right to it. Please step inside.  There you go. Is that everyone? Good, good. Please make your way upstairs and we'll begin the tour.  And you two make yourselves at home. Rent's due on the first, no overnight guests. Oh, and flush once after you boom-boom but before you start using the TP, and then once more in the middle of using the TP if you're going to use a lot. It's easier on the pipes. Okay. Call me if you need me. |
 Hey Finn. I'm real sorry about this. Somehow I feel like it's kinda my fault.|Nah man. It's really not so bad. Let's just sleep on it tonight. 
 You're gonna sleep... like that?|Yeah, man. It's tough. I'm a tough kid.
 Haha, yeah. I can't wait to wash my gross, fat butt. |
  I just feel if we're patient this whole thing will work itself out before you know it.  Haha! See, man? Help is on the way!| Man, can I tell you something? I don't even know what's going on here. I mean like, what the heck is a deed? How come he can buy our house when it's OUR house and Marceline gave it to us and we live there?! A-and now we're arrested?! This is crazy! It's crazy!! 
 Man, don't you know? The laws ain't made to help earthy cats like us.|They're not?!
" Nah, man. Listen. Here on our planet, back in the old days, back in the REAL old days, it was just every man for hisself. Scrooblin' and scrat-scroblin' for the good stuff, the greenest valleys, and scrat-scroblin'. And the strongest, meanest men got the best stuff. They got the green valleys and were like, ""The rest of you, y'all scrats get sand!"" And THAT'S when they made the laws, you see. Once the strong guys got it how they liked it, they said, ""This is fair now, this is the law."" Once they were winning, they changed the rules up."|Woah, just like Kim Kil Whan!
 Haha, that's awesome!|Yeah, awesome!
  Man, where did I go wrong?|I don't know. But I'm not tryin' to be sleepin' on a ladder anymore, so let's just get a bunch of scroot together and buy our house back. Then you two can hash it out later.
  Yeah, you're right. So, wanna rob a bank or somethin'?|Well, actually...I was thinking maybe Kim Kil Whan was right.  Maybe we should get jobs or somethin'.
 Oh yeah.... Yeah. Oh no, wait! I just remembered I buried a ton of gold in the front yard!|Yuss!!
  Oh yes, yes, absolutely. Small pets are allowed with an additional deposit.  Excellent.| Watch it!
 Other| Hey, Abracadaniel's here, with a bus full of lame wizards.
  Okay, you guys. Keep up the good work. | What was your count?
 Uh, 3 minutes. What about you?|Uh, 3 minutes, 30 seconds.
 What's that? Your invisible watch?|No, I was just pointing at my wrist.
 Oh, dang, we were both counting fast.|Hey, Rattleballs, are you sure you're waterproof?
 Birthday, birthday, birthday, birthday, birthday, birthday, birthday , birthday, birthday, birthday, birthday, birthday, birthday,  birthday, birthday, birthday, birthday, birthday, birthday, birthday! Yeah! Yay!|Nice job, Mr. Birthday Boy.
  Thanks.|Man, you are like another year older, but you look good. Like, super good.
 Yup. Mom and dad passed down some pretty good genes.|Oh yeah, mom and dad. Hey, did mom and dad tell you any stories about when you were born?
 And so they never told me.|Never told you what?
 I don't know. I think I got restless leg syndrome.|Is that from getting chubby?
 What? No, man, it's just restless leg.|Oop! My bad.
 What are you reading?|This old copy of Adventure Boy magazine—the only magazine for boy adventurers. This kid Rusty is getting chased down the river by three grown otters. This magazine rules! But I'm saving the end for tomorrow. 
 Cool.|Well, I hope your leg feels better. I'm turning in. I'll see you up there.
  Finn, was that you?|
 Aah!  Aah! Ghost fly touching me!  Finn! Finn!| Aah!
 Ghost fly, man! Aah! Aah!|Okay.
 Come on, man. Let's get out of the house. It's a ghost fly!|So what?
 Run! Just run!|Ay-ay-ay-ay!
 We should ask what its unfinished business is. Ghosts always have unfinished business.|Ghost fly, what's your problem?!
 Ghost fly, what's your problem?!|Come on, dude. Tell us your unfinished business!
 Come on, dude. Tell us your unfinished business!|Aah! It's no good. He's a tortured little spirit. We need help to communicate with this ghost fly.
 I think so. His ways are kind of mysterious.|That's cool.
 Woo! |Hmm?
 Hmm?| The end of my story. And it's so close.
 Don't do it, bro. It's a trap.|I know. It's an obvi trap. But wait. What if... watch this. Ha!  Mm?
 Dude, what are you—?|If I extend the circle...  farther... I can get closer to the magazine.
" Yeah, but I'm still getting a ""woo-jah"" feeling. This seems like a bad idea."|Just have to stay inside this circle.
 Just have to stay inside this circle.|Ha ha! How'd you do it, Rusty? How'd you shake them otters?   Man, what a great ending! 
 Finn? What's wrong, buddy?| 
 Mm. BMO?|Jake, I missed you, bro!
 Jake!|Don't ever leave me again!
 Alright, lad, show me the way! |Jake! Hey, I got a for-real important question
  I thought you'd be beautiful. But you're not!  You're hideous! Hideous! | BMO, resume.
 Go eat, Jake!|Uh, Jake? What's going on, man? Feeling okay?
 Awesome. See you soon.  Yus!|Hey, man.
 Oh, hey, Finn!  So you got my map? | Yeah.
 |So... how's your experiment going?
 Ah, it's goin' great. I really feel like I fit in,  so to speak. |So... are you ready to come home?
 Nah, I think I was just gonna keep being a brick for a while.|Umm... what are you doing again?
 Finn, ever since I was little, I wanted to see what it's like to be a brick in a brick shack when the brick shack falls down. And this shack is gonna fall down. Just look at it. Like sandcastles in the sun, baby.  You're too young; you wouldn't understand.| You're right. I don't understand. But I'm cool with your mystical journey or whatever. I'm gonna leave this walkie-talkie so we can stay in touch. Just in case.
 What? No, man, bricks don't stay in touch!|Dude, BMO is, like, really worried about you.
 Aww. You tell that little goofball I said hi.|I will.  Well, I guess I should head back.
 Oh. Really? So soon?|Yeah, well, it took me, like, half a day to get here. Besides, you're just a brick, right?
  Yeah.| Alright, see ya, Jake!
 Wow, deers are jerks.|Hey, man. You know I can hear everything you say, right?
 What?! Arrrrrgh! No! I had no idea.|Yeah, but you saw me leave the walkie-talkie, and I left it on. You know that, right?
 Hi, BMO.|Need anything? A soda?
 No.|So what's Mr. Bunny doing now?
 It's not about the bunny! The bunny is incidental to the brick experiment.|Oh. Sorry, man.
 Forget about the bunny.|Sorry, man.
 Sorry, Jake.|Look, we'll, uh, we'll leave you alone. 
